folder,offset_file,original_file,comparison_type,device,true_offset,config,bins,method,estimated_offset,error,abs_error,rel_error,same_instrument,processing_time
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,guitar.wav,original,Laptop_-_Microphone,336.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,True,12.79
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,default,84,FingerprintRecognizer,371.52,35.52,35.52,10.57,False,48.45
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,default,84,CorrelationRecognizer,0.0,-336.0,336.0,100.0,False,9.55
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,default,84,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,False,12.81
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,higher_res,96,FingerprintRecognizer,371.52,35.52,35.52,10.57,False,46.16
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,higher_res,96,CorrelationRecognizer,0.0,-336.0,336.0,100.0,False,9.7
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,False,12.48
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,lower_res,48,FingerprintRecognizer,371.52,35.52,35.52,10.57,False,45.21
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,lower_res,48,CorrelationRecognizer,0.0,-336.0,336.0,100.0,False,8.98
A,guitar_offset_336ms_with_Laptop_-_Microphone.wav,no-guitar.wav,backing,Laptop_-_Microphone,336.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-336.0,336.0,100.0,False,12.04
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,default,84,FingerprintRecognizer,46.44,-211.56,211.56,82.0,False,49.86
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,default,84,CorrelationRecognizer,363.38,105.38,105.38,40.84,False,8.6
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,default,84,CorrelationSpectrogramRecognizer,0.0,-258.0,258.0,100.0,False,11.24
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,higher_res,96,FingerprintRecognizer,46.44,-211.56,211.56,82.0,False,48.07
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,higher_res,96,CorrelationRecognizer,363.38,105.38,105.38,40.84,False,8.66
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-258.0,258.0,100.0,False,11.45
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,lower_res,48,FingerprintRecognizer,46.44,-211.56,211.56,82.0,False,49.34
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,lower_res,48,CorrelationRecognizer,363.38,105.38,105.38,40.84,False,8.8
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,258.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-258.0,258.0,100.0,False,12.02
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,default,84,FingerprintRecognizer,0.0,-258.0,258.0,100.0,True,41.67
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,default,84,CorrelationRecognizer,0.0,-258.0,258.0,100.0,True,8.87
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,default,84,CorrelationSpectrogramRecognizer,0.0,-258.0,258.0,100.0,True,12.65
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,higher_res,96,FingerprintRecognizer,0.0,-258.0,258.0,100.0,True,46.33
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,higher_res,96,CorrelationRecognizer,0.0,-258.0,258.0,100.0,True,9.59
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-258.0,258.0,100.0,True,13.33
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,lower_res,48,FingerprintRecognizer,0.0,-258.0,258.0,100.0,True,46.99
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,lower_res,48,CorrelationRecognizer,0.0,-258.0,258.0,100.0,True,9.51
A,user2_offset_258ms_with_DSLR_Camera_-_Microphone.wav,user2.wav,original,DSLR_Camera_-_Microphone,258.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-258.0,258.0,100.0,True,12.83
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,default,84,FingerprintRecognizer,325.08,266.08,266.08,450.98,False,53.46
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,default,84,CorrelationRecognizer,118.25,59.25,59.25,100.42,False,9.07
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,default,84,CorrelationSpectrogramRecognizer,0.0,-59.0,59.0,100.0,False,12.15
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,higher_res,96,FingerprintRecognizer,325.08,266.08,266.08,450.98,False,50.61
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,higher_res,96,CorrelationRecognizer,118.25,59.25,59.25,100.42,False,9.16
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-59.0,59.0,100.0,False,12.19
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,lower_res,48,FingerprintRecognizer,325.08,266.08,266.08,450.98,False,50.1
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,lower_res,48,CorrelationRecognizer,118.25,59.25,59.25,100.42,False,8.42
A,user1_offset_59ms.wav,master.wav,master,Direct,59.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-59.0,59.0,100.0,False,11.94
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,default,84,FingerprintRecognizer,0.0,-59.0,59.0,100.0,True,41.67
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,default,84,CorrelationRecognizer,0.0,-59.0,59.0,100.0,True,8.5
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,default,84,CorrelationSpectrogramRecognizer,0.0,-59.0,59.0,100.0,True,12.8
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,higher_res,96,FingerprintRecognizer,0.0,-59.0,59.0,100.0,True,42.63
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,higher_res,96,CorrelationRecognizer,0.0,-59.0,59.0,100.0,True,8.2
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-59.0,59.0,100.0,True,11.78
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,lower_res,48,FingerprintRecognizer,0.0,-59.0,59.0,100.0,True,42.76
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,lower_res,48,CorrelationRecognizer,0.0,-59.0,59.0,100.0,True,9.07
A,user1_offset_59ms.wav,user1.wav,original,Direct,59.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-59.0,59.0,100.0,True,11.69
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,default,84,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,47.84
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,8.77
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,default,84,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,12.19
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,higher_res,96,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,47.86
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,8.59
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,11.77
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,lower_res,48,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,47.21
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,lower_res,48,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,9.43
A,drums_offset_264ms.wav,master.wav,master,Direct,264.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,11.39
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,default,84,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,42.1
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,10.38
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,default,84,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,True,12.41
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,higher_res,96,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,44.12
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,8.64
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,True,11.73
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,lower_res,48,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,41.58
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,lower_res,48,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,8.75
A,drums_offset_264ms.wav,drums.wav,original,Direct,264.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,True,12.68
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,default,84,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,46.38
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,8.43
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,default,84,CorrelationSpectrogramRecognizer,139.32,-124.68,124.68,47.23,False,11.3
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,higher_res,96,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,48.16
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,10.81
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,higher_res,96,CorrelationSpectrogramRecognizer,139.32,-124.68,124.68,47.23,False,14.33
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,lower_res,48,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,51.57
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,lower_res,48,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,9.24
A,drums_offset_264ms.wav,no-drums.wav,backing,Direct,264.0,lower_res,48,CorrelationSpectrogramRecognizer,139.32,-124.68,124.68,47.23,False,11.97
A,guitar_offset_336ms_with_DSLR_Camera_-_Microphone.wav,master.wav,master,DSLR_Camera_-_Microphone,336.0,default,84,FingerprintRecognizer,0.0,-336.0,336.0,100.0,False,47.24
